dscr_parameter,variance_category,sub_category_or_overlay,policy_type,notes
2-1 Buydown,Loan Structure,2-1 Buydown,Soft,Temporary interest rate buydown allowed per guidelines.
Accessory Dwelling Units,Condos / Property Type,Accessory Dwelling Units (ADU),Soft,ADU properties must meet specific appraisal requirements.
Property – Acreage and Land Value,Collateral,Property – Acreage and Land Value,Hard,Max acreage limits apply.
Age of Loan Documentation,Collateral,Age of Loan Documentation,Hard,Documents must be within valid window (e.g. 90-120 days).
Appraisal Requirements,Appraisal,Appraisal Requirements,Hard,Full appraisal required. CDA or Field Review may apply.
Assets – Business Assets,Assets,Assets – Business Assets,Soft,Verification of business liquidity required.
"Assets – Eligibility, Sourcing & Verification",Assets,"Assets – Eligibility, Sourcing & Verification",Hard,Large deposits must be sourced.
Assets – Foreign Assets,Assets,Assets – Foreign Assets,Hard,Must be moved to US institution prior to closing.
Assets – Ineligible Sources,Assets,Assets – Ineligible Sources,Hard,"Crypto, cash on hand, unsupported gifts are ineligible."
Automatic Payment Authorization (ACH),Escrows / Insurance,Automatic Payment Authorization (ACH),Soft,Required for specific program benefits.
Borrower Eligibility,Borrower Eligibility,Borrower Eligibility,Hard,"US Citizen, Permanent Resident, Non-Permanent Resident."
Borrowers – Ineligible,Borrowers – Ineligible,Ineligible Borrower Types,Hard,"Diplomatic immunity, inter-vivos revocable trusts without specific attributes."
Business Purpose Loans,Eligible Transactions,Business Purpose Loans,Hard,Loan must be for business purpose.
Cash-Out,Eligible Transactions,Cash-Out Refinance,Hard,Cash-out max LTV limits apply.
Cash-Out Refinance Seasoning & Requirements,Eligible Transactions,Cash-Out Refinance,Hard,12 months seasoning typically required.
"Collections, Charge-Offs and Judgments",Credit / Housing,Collections / Charge-Offs / Judgments,Hard,Must be paid in full or meet repayment plan criteria.
Condo – Warrantable / Established Condos,Condos / Property Type,Condo – Warrantable / Established,Hard,Standard agency warrantable criteria.
Condo – Limited Review,Condos / Property Type,Condo – Limited Review,Hard,LTV and occupancy restrictions apply for limited review.
Condo – Non-Warrantable,Condos / Property Type,Condo – Non-Warrantable,Hard,Projects with specific non-warrantable features.
Condo in Need of Critical Repair / Deferred Maintenance,Condos / Property Type,Condo in Need of Critical Repair,Hard,Ineligible if structural integrity is compromised.
Condo Insurance Requirements,Escrows / Insurance,Escrow Impounds,Hard,HO6 walls-in coverage required.
Condotels,Condos / Property Type,Condotels,Hard,Condo-hotels eligible under specific LTV caps.
Continuity of Obligation / Ownership Seasoning,Entity Vesting,Continuity of Obligation / Ownership Seasoning,Hard,Must establish ownership history.
Credit Report,Credit / Housing,Credit Report,Hard,Tri-merge report required.
Credit Rescore,Credit / Housing,Credit Rescore,Soft,Rapid rescore permitted.
Credit Score Requirements,Credit / Housing,Credit Score Requirements,Hard,Min FICO 620 typically.
Credit/Housing Event Seasoning,Credit / Housing,Credit/Housing Event Seasoning,Hard,BK/Foreclosure seasoning periods.
Borrower – DACA / ITIN,Borrower Eligibility,Borrower – DACA / ITIN,Hard,Specific LTV cuts for ITIN borrowers.
Declining Markets,Collateral,Declining Markets,Hard,LTV reduction required for declining markets.
Delayed Financing,Eligible Transactions,Delayed Financing,Hard,Exception to cash-out seasoning for cash buyers.
DSCR Ratio Requirements,Income,DSCR Ratio Requirements,Hard,"Ratio >= 1.00 usually required, <1.00 exceptions exist."
Entity Vesting – Signature Requirements,Entity Vesting,Entity Vesting – Signature Requirements,Hard,Personal Guarantee required for entity borrowers.
Escrow Holdbacks,Loan Structure,Escrow Holdbacks,Soft,Allowed for weather-related repairs.
Escrow Impounds / HPML / Flood Insurance,Escrows / Insurance,Escrow Impounds; HPML; Flood Insurance,Hard,Impounds required for HPML and Flood zones.
Borrower – Experienced,Borrower Eligibility,Borrower – Experienced,Soft,First time investor restrictions may apply.
